Model,Dokładność (domyślne),Dokładność (zoptymalizowane),Poprawa,Poprawa (%)
Naive Bayes,0.6083333333333333,0.609,0.0006666666666667043,0.06666666666667043
Random Forest,0.59,0.6038333333333333,0.013833333333333364,1.3833333333333364
Gradient Boosting,0.604,0.604,0.0,0.0
Logistic Regression,0.6058333333333333,0.606,0.0001666666666666483,0.01666666666666483
KNN,0.5658333333333333,0.5816666666666667,0.015833333333333366,1.5833333333333366
